BASE EMOTION	EMOTION	 BODY AREA	PERSON					
angry	annoyed	Feel that area holding something vibrating. It is moving towards your mouth. Through your throat. Trying to get out.	Hear that person chewing very loudly.					
angry	frustrated	You put your hand on that area to make the vibrating stop. You try to control your breathing. Nothing helps. 	Their lips move but you can't hear them. Yell their name. They can hear you but they act like they don't.					
angry	irritated	You put your hand on that area to make the vibrating stop. You try to control your breathing. Nothing helps. 	Hear that person chewing very loudly.					
angry	upset	Feel how that area is trembling. It is supposed to be solid but something is keeping it from being still. A deep roar is too far from your throat to get out. 	Now is your chance to tell them what you really think. How they made you feel. They look smug. 					
angry	angry	Imagine that area being filled by angry bees. You try to shake them off but they won't leave.	Feel the weight of the rock in your hand. Feel the urge of throwing it as hard as you can at the person in front of you. 					
angry	mad	Imagine that area being filled by angry bees. You try to shake them off but they won't leave.	Imagine asking that person for help. They heard you but they don't move. They laugh at you. 					
angry	enraged	Feel and here the loud rumbling in that area. High pressure. Cracks open up to let out lava but the pressure never drops.	Feel the weight of the rock in your hand. Feel the urge of throwing it as hard as you can at the person in front of you. 					
angry	furious	Imagine that area growing and burning and festering like touching an open sore.	Imagine that person betraying you and then shrugging.					
envious	jealous	Imagine a piece of that area missing. You see it in someone else. No matter how hard you try to bring it back you can’t even reach it.	Imagine pushing them as hard as you can. Did you think it would make you feel better? It won't. 					
envious	envious	Imagine a piece of that area missing. You see it in someone else. No matter how hard you try to bring it back you can’t even reach it.	Imagine them obliviously holding on to your missing piece.					
envious	resentful	Imagine that area beeing filled with black tar. The tar is slowly seeping out. Poisoning the rest of your body.	Imagine pushing them as hard as you can. Did you think it would make you feel better? It won't. 					
depressed	low	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	You avoid making eyecontact with them. The less you engage the less you have to pretend. 					
depressed	down	You fail to remember the last time that area got to experience the rays of our sun. It's damp and cold. 	They try to tell you a joke. You're not sure if you missed the punchline. You don't even bother to pretend.					
depressed	grouchy	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	You are looking around for them but you can barely see them through the fog.					
depressed	crabby	You fail to remember the last time that area got to experience the rays of our sun. It's damp and cold. 	Hear them complain. 					
depressed	cranky	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	They find you laying on the floor next to your bed.					
depressed	grumpy	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	Hear them complain. 					
depressed	dejected	Feel the area grow and start to pour out of your body until it fills the room.	You avoid making eyecontact with them. The less you engage the less you have to pretend. 					
depressed	bad	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They try to tell you a joke. You're not sure if you missed the punchline. You don't even bother to pretend.					
depressed	gloomy	Feel how the area gets hit by gray, gravel like forces from the outside world. The area cannot withstand. 	You are looking around for them but you can barely see them through the fog.					
depressed	glum	Feel the area grow and start to pour out of your body until it fills the room.	Hear them complain. 					
depressed	miserable	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They find you laying on the floor next to your bed.					
depressed	hopeless	Feel the area grow and start to pour out of your body until it fills the room.	You are looking around for them but you can barely see them through the fog.					
depressed	morose	Maybe if you try to clean up that area you'll feel better. You make an attempt but don't know where to start. You give up. 	Hear them complain. 					
depressed	depressed	Imagine that area inside your body, all of you inside your dirty PJs, afternoon dragging into evening.	They find you laying on the floor next to your bed.					
confused	doubtful	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	uncertain	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	indecisive	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	hesitant	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	uneasy	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	confused	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	perplexed	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	distrustful	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	embarrassed	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	lost	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	unsure	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
confused	confounded	Let your mind shift focus from one side of that area to the other. Feel how they both represent a different side of true.	If you approach them they might leave. If you don’t, they might be offended.					
helpless	vulnerable	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	alone	Feel the emptiness there. 	They can't see you.					
helpless	distressed	Anything you find in that area is waste. 	They don't want your help. They don't want you there.					
helpless	helpless	Feel the emptiness there. 	You don't exist to them.					
helpless	disappointed	Anything you find in that area is waste. 	They can't see you.					
helpless	lonely	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	paralyzed	Feel how deep the black void in that area is. 	You don't exist to them.					
helpless	useless	Anything you find in that area is waste. 	They don't want your help. They don't want you there.					
indifferent	tired	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
indifferent	sluggish	Attempt to scoop it off the floor, feel its weight.	Feel your eyes droop and shoulders slump as you try to get somewhere new with them. It feels impossible.					
indifferent	weary	Follow that area as it drops down into the ground.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
indifferent	bored	Follow that area as it drops down into the ground.	Feel your eyes droop and shoulders slump as you try to get somewhere new with them. It feels impossible.					
indifferent	indifferent	Feel that area flicker barely into your consciousness then it's gone. Oh well.	Let that person fill up your mind for a moment then let them float by. See how you can play with their presence. Bringing them back and letting them go.					
indifferent	uncaring	Feel that area flicker barely into your consciousness then it's gone. Oh well.	Feel your vision blur as you try to keep listening to them. Try to keep caring. Feel your energy draining.					
afraid	anxious	Feel how this area has taken over. You’re trying to focus on other parts of your body but it won’t let you. It’s like looking through a jumpy fog.	Consider how things go wrong with them.					
afraid	nervous	Why does that area stand out to you? There must be something wrong.	Why are they faceless? You’re trying to move away but you can’t. They are getting closer.					
afraid	worried	You wish this area were smaller, less noticable. Can everyone around you feel it too?	The person is pointing towards something behind you. You turn around and look. There is nothing there. You turn back. They are gone. You can still hear their voice. 					
afraid	timid	There’s no movement there. The walls are like frozen rock but it’s not clear where they begin or end.	Notice how much more confident they seem. How much more together they seem to have it.					
afraid	wary	The area is too loud. You need to shift focus. You try to follow one of multiple paths, out to a calmer area in your body. It leads back to the same place. Every time. 	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	defensive	Feel how this area has taken over. You’re trying to focus on other parts of your body but it won’t let you. It’s like looking through a jumpy fog.	Why are they faceless? You’re trying to move away but you can’t. They are getting closer.					
afraid	guarded	Why does that area stand out to you? There must be something wrong.	The person is pointing towards something behind you. You turn around and look. There is nothing there. You turn back. They are gone. You can still hear their voice. 					
afraid	afraid	You wish this area were smaller, less noticable. Can everyone around you feel it too?	Notice how much more confident they seem. How much more together they seem to have it.					
afraid	fearful	There’s no movement there. The walls are like frozen rock but it’s not clear where they begin or end.	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	alarmed	The area is too loud. You need to shift focus. You try to follow one of multiple paths, out to a calmer area in your body. It leads back to the same place. Every time. 	Consider how things go wrong with them.					
afraid	scared	There’s no movement there. The walls are like frozen rock but it’s not clear where they begin or end.	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	cowardly	The area is too loud. You need to shift focus. You try to follow one of multiple paths, out to a calmer area in your body. It leads back to the same place. Every time. 	Consider how things go wrong with them.					
afraid	insecure	You wish this area were smaller, less noticable. Can everyone around you feel it too?	Notice how much more confident they seem. How much more together they seem to have it.					
afraid	troubled	Why does that area stand out to you? There must be something wrong.	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	terrified	Why does that area stand out to you? There must be something wrong.	You look to them for reassurance but they confirm your uncertainty. Something feels off.					
afraid	petrified	There’s no movement there. The walls are like frozen rock but it’s not clear where they begin or end.	Why are they faceless? You’re trying to move away but you can’t. They are getting closer.					
afraid	paranoid	The area is too loud. You need to shift focus. You try to follow one of multiple paths, out to a calmer area in your body. It leads back to the same place. Every time. 	The person is pointing towards something behind you. You turn around and look. There is nothing there. You turn back. They are gone. You can still hear their voice. 					
hurt	aching	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	miffed	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	withdrawn	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	slighted	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	pained	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	rejected	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	insulted	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	distant	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	crushed	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
hurt	indignant	Feel that area dissolve. The sensation along with the world surrounding you gets vaguer and vaguer. 	Imagine them moving their lips without any sound leaving their mouth. 					
sad	tearful	You don't dare to investigate the area too much. Anything that enters runs the risk of dissapearing forever. A deep black hole. Right in the middle.	Feel how you need them to stay. How you want them to hold your hand. 					
sad	remorseful	There's a warm inviting glow. You try to put your hand in it but there's a thick, transparent membrane that won't let you through. You watch from a distance. Is there really no way to enter?	Are you sure it's really them? You can't see their face. You try to get closer but it's like an unknown force keeps moving them just out of reach. You get whifts of there scent. Or is it mildew? You collapse. They hover above you. Like a heaavy, dense fog. 					
sad	sullen	An ache deep in there, tracing the edges of your organs as it moves upward. You crane my neck, pushing it down as you look away.	If you were to run up and hug them they'd disappear. You just know. So you just stand there. Fighting the urge. 					
sad	fragile	Feel that area tremble in a soft high paced manner. If the rhythm is disrupted, you will scatter. 	Feel how you need them to stay. How you want them to hold your hand. 					
sad	wistful	An ache deep in there, tracing the edges of your organs as it moves upward. You crane my neck, pushing it down as you look away.	See them waving, then tiring out, and finally getting distracted by everyone around them.					
sad	sorrowful	Feel that area tremble in a soft high paced manner. If the rhythm is disrupted, you will scatter. 	See them waving, then tiring out, and finally getting distracted by everyone around them.					
sad	unhappy	Feel that area tremble in a soft high paced manner. If the rhythm is disrupted, you will scatter. 	The stormy water is everywhere. They're drifting away. Do something! Grab them! You can barely see them but you still hear them scream for you. 					
sad	mournful	You don't dare to investigate the area too much. Anything that enters runs the risk of dissapearing forever. A deep black hole. Right in the middle.	Are you sure it's really them? You can't see their face. You try to get closer but it's like an unknown force keeps moving them just out of reach. You get whifts of there scent. Or is it mildew? You collapse. They hover above you. Like a heaavy, dense fog. 					
sad	nostalgic	There's a warm inviting glow. You try to put your hand in it but there's a thick, transparent membrane that won't let you through. You watch from a distance. Is there really no way to enter?	If you were to run up and hug them they'd disappear. You just know. So you just stand there. Fighting the urge. 					
sad	melancholy	An ache deep in there, tracing the edges of your organs as it moves upward. You crane my neck, pushing it down as you look away.	See them waving, then tiring out, and finally getting distracted by everyone around them.					
sad	anguished	The whole area is turning into liquid. Nothing is holdig it together any longer. 	Are you sure it's really them? You can't see their face. You try to get closer but it's like an unknown force keeps moving them just out of reach. You get whifts of there scent. Or is it mildew? You collapse. They hover above you. Like a heaavy, dense fog. 					
sad	devastated	The whole area is turning into liquid. Nothing is holdig it together any longer. 	The stormy water is everywhere. They're drifting away. Do something! Grab them! You can barely see them but you still hear them scream for you. 					
judgemental	serious	Feel the stillness there. There’s an absence of play yet there’s nothing heavy about it.	There’s something important you need them to know. Transfer the core of it to them without using any words.					
judgemental	stern	Feel the stillness there. There’s an absence of play yet there’s nothing heavy about it.	Feel how they’re doing it wrong. Every little movement. Even the intention of moving. You could do it better.					
judgemental	judgmental	Feel how parts of that area have started to rot. The smell makes it difficult to sense other parts of your body. Feel how it is slowly spreading.	Feel how they’re doing it wrong. Every little movement. Even the intention of moving. You could do it better.					
judgemental	proud	Feel how parts of that area have started to rot. The smell makes it difficult to sense other parts of your body. Feel how it is slowly spreading.	Imagine them poking you, prodding. You push back. How do you get at them?					
judgemental	combative	Feel that area fill with simmering black tar. Let it boil over.	Imagine them poking you, prodding. You push back. How do you get at them?					
open	satisfied	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	interested	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	confident	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	receptive	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	accepting	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	present	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	empathetic	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	friendly	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	open	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	free	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
loving	sensitive	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	attracted	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	humble	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	loving	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	tender	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	warm	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	gracious	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	kindly	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	grateful	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	devoted	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	passionate	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
happy	thankful	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	satisfied	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	glad	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	cheerful	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	mellow	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	happy	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	delighted	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	gleeful	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	jovial	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	blissful	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	joyous	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	overjoyed	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	ecstatic	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	elated	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	jubilant	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	euphoric	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	rapturous	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
interested	curious	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	attentive	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	observant	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	interested	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	thoughtful	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	focused	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	fascinated	Feel that area crack open, revealing an infinite space with sparkling white light.	Pay close attention to that person. What do they radiate?					
interested	intrigued	Feel that area crack open, revealing an infinite space with sparkling white light.	Pay close attention to that person. What do they radiate?					
interested	absorbed	Feel that area crack open, revealing an infinite space with sparkling white light.	Pay close attention to that person. What do they radiate?					
interested	amazed	Feel that area crack open, revealing an infinite space with sparkling white light.	Pay close attention to that person. What do they radiate?					
alive	playful	Feel how that area is being tickled. 	Tell them a joke. Hear them laugh. See how they can't stop laughing.					
alive	optimistic	Feel how the energy of that area is spreading to the rest of your body. Slowly untying knots. It gets easier to move. 	They're giving you a thumbs up. Feel how their support fills your body.					
alive	alive	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	You can feel them next to you, breating with you.					
alive	energetic	Feel how that area is being tickled. 	See that person walking towards you with firm steps. Grabbing your shoulders. 					
alive	liberated	Feel how the energy of that area is spreading to the rest of your body. Slowly untying knots. It gets easier to move. 	Tell them a joke. Hear them laugh. See how they can't stop laughing.					
alive	frisky	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	They're giving you a thumbs up. Feel how their support fills your body.					
alive	spirited	Feel how that area is being tickled. 	You can feel them next to you, breating with you.					
alive	thrilled	Feel how the energy of that area is spreading to the rest of your body. Slowly untying knots. It gets easier to move. 	See that person walking towards you with firm steps. Grabbing your shoulders. 					
alive	wonderful	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	Tell them a joke. Hear them laugh. See how they can't stop laughing.					
alive	excited	An enormous amount of energy is moving around that area. It's looking for actions to take. 	They're giving you a thumbs up. Feel how their support fills your body.					
alive	aroused	An enormous amount of energy is moving around that area. It's looking for actions to take. 	See that person walking towards you with firm steps. Grabbing your shoulders. 					
positive	keen	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	earnest	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	hopeful	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	positive	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	eager	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	inspired	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
positive	upbeat	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
positive	motivated	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
positive	brave	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
positive	daring	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	exuberant	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
peaceful	good	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Imagine that person offering you a drink.					
peaceful	quiet	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Imagine that person offering you a drink.					
peaceful	clear	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Imagine that person offering you a drink.					
peaceful	okay	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Imagine them giving you a head massage.					
peaceful	fine	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Imagine them giving you a head massage.					
peaceful	peaceful	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Imagine them giving you a head massage.					
peaceful	calm	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Feel how okay it is to not understand everything about that person.					
peaceful	content	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Feel how okay it is to not understand everything about that person.					
peaceful	certain	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Feel how okay it is to not understand everything about that person.					
peaceful	carefree	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Imagine that person offering you a drink.					
peaceful	placid	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Imagine them giving you a head massage.					 
peaceful	relaxed	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Imagine them giving you a head massage.					
peaceful	serene	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Feel how okay it is to not understand everything about that person.					
peaceful	radiant	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Imagine them giving you a head massage.					
peaceful	reflective	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Feel how okay it is to not understand everything about that person.					
peaceful	centered	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Imagine them giving you a head massage.					
strong	secure	Feel that area getting clearer and clearer. And as it does it opens up more and more.	They're looking at you and you can tell they're really seeing you. All the way through.					
strong	composed	Let the clarity of this area expand. Feel water moving through it in a straight line.	Bring their face into focus. Let everything else fade away.					
strong	sane	Breath in deeply feeling energy radiate from your core to your fingers and toes.	Imagine holding each other up, looking out into the distance together.					
strong	sure	Feel that area getting clearer and clearer. And as it does it opens up more and more.	Imagine holding each other up, looking out into the distance together.					
strong	honest	Feel that area getting clearer and clearer. And as it does it opens up more and more.	They're looking at you and you can tell they're really seeing you. All the way through.					
strong	dynamic	Let the clarity of this area expand. Feel water moving through it in a straight line.	They're looking at you and you can tell they're really seeing you. All the way through.					
strong	determined	Let the clarity of this area expand. Feel water moving through it in a straight line.	Bring their face into focus. Let everything else fade away.					
strong	excellent	Breath in deeply feeling energy radiate from your core to your fingers and toes.	Bring their face into focus. Let everything else fade away.					
strong	energized	Breath in deeply feeling energy radiate from your core to your fingers and toes.	Imagine holding each other up, looking out into the distance together.					